e_ref,e2dnde,e2dnde_errp,e2dnde_errn,is_ul
0.278,2.648e-11,1.736e-12,1.735e-12,False
0.430,2.401e-11,9.936e-13,9.931e-13,False
0.692,2.376e-11,8.061e-13,8.054e-13,False
1.114,1.997e-11,7.488e-13,7.478e-13,False
1.793,1.620e-11,7.622e-13,7.608e-13,False
2.888,1.525e-11,8.220e-13,8.200e-13,False
4.653,1.090e-11,9.098e-13,9.073e-13,False
7.502,8.259e-12,9.914e-13,9.876e-13,False
12.084,7.360e-12,1.051e-12,1.045e-12,False
19.466,5.068e-12,1.169e-12,1.159e-12,False
31.386,2.290e-12,1.092e-12,1.077e-12,False
