x,e2dnde (erg cm-2 s-1),e2dnde_errp (erg cm-2 s-1),e2dnde_errn (erg cm-2 s-1)
176.1,8.71e-12,8.96e-12,8.37e-12
176.4,8.7e-12,8.96e-12,8.37e-12
176.5,8.7e-12,8.96e-12,8.37e-12
271.4,8.38e-12,8.58e-12,8.14e-12
271.6,8.38e-12,8.58e-12,8.14e-12
272,8.38e-12,8.58e-12,8.14e-12
370,8.25e-12,8.41e-12,8.16e-12
371,8.25e-12,8.4e-12,8.16e-12
371,8.24e-12,8.4e-12,8.16e-12
467,7.14e-12,7.35e-12,6.96e-12
467,7.14e-12,7.35e-12,6.96e-12
467,7.14e-12,7.35e-12,6.96e-12
565,6.93e-12,7.15e-12,6.69e-12
565,6.93e-12,7.15e-12,6.69e-12
566,6.93e-12,7.15e-12,6.69e-12
660,5.13e-12,5.63e-12,4.55e-12
661,5.12e-12,5.62e-12,4.53e-12
661,5.11e-12,5.62e-12,4.53e-12
757,3.7e-12,4.66e-12,2.06e-12
757,3.7e-12,4.66e-12,2.06e-12
757,3.69e-12,4.66e-12,2.06e-12
853,2.84e-12,4.38e-12,1.2e-12
854,2.84e-12,4.38e-12,1.2e-12
855,2.83e-12,4.38e-12,1.2e-12
